study;study_id;country;sex;n_veg;mean_veg;sd_veg;n_omni;mean_omni;sd_omni;treat;measure
Vinagre et al., (2013); 99;Brazil;M/F;21 ;139.2 ; 34.8;29 ;166.3 ; 27.1;vegan;cholesterol
Bradbury et al., (2014); 87;U.K.;M;167 ;170.5 ; 1.3;168 ;204.2 ; 1.3;vegan;cholesterol
Bradbury et al., (2014); 87;U.K.;F;255 ;172.1 ; 1.1;256 ;195.3 ; 1.1;vegan;cholesterol
Huang et al., (2014); 88;Taiwan;F;36 ;173.4 ; 32.5;2285 ;175.2 ; 33.2;vegan;cholesterol
Huang et al., (2014); 88;Taiwan;F;63 ;191.3 ; 35.4;1040 ;204.8 ; 38.3;vegan;cholesterol
Jian et al., (2014); 89;Taiwan;M;45 ;164.2 ; 36.1;3144 ;181.7 ; 35.9;vegan;cholesterol
Jian et al., (2014); 89;Taiwan;F;99 ;184.7 ; 35.2;3325 ;184.3 ; 37.4;vegan;cholesterol
Roshanai et al., (1984); 101;U.K.;M;11 ;73.9 ; 7.7;12 ;116.4 ; 8.5;vegan;ldl_cholesterol
Roshanai et al., (1984); 101;U.K.;F;12 ;78.1 ; 7;12 ;85.5 ; 9.3;vegan;ldl_cholesterol
Thorogood et al., (1987); 92;U.K.;M/F;114 ;88.2 ; 4.9;1198 ;122.6 ; 3.5;vegan;ldl_cholesterol
Thorogood et al., (1990); 9;U.K.;M;26 ;136.1 ; 8.1;26 ;136.1 ; 8.1;vegan;ldl_cholesterol
Thorogood et al., (1990); 9;U.K.;F;26 ;105.2 ; 5.0;26 ;146.6 ; 7;vegan;ldl_cholesterol
Sanders et al., (1992); 93;U.K.;M;10 ;71.5 ; 8.1;10 ;121.4 ; 9.1;vegan;ldl_cholesterol
Sanders et al., (1992); 93;U.K.;F;10 ;78.1 ; 7;10 ;90.49 ; 10.0;vegan;ldl_cholesterol
Thomas et al., (1999); 22;U.K.;F;143 ;93.2 ; 2.6;376 ;119.9 ; 2.8;vegan;ldl_cholesterol
Krajcovicova et al., (2000); 25;Slovak Rep.;M/F;32 ;89.7 ; 1.2;59 ;139.6 ; 1.6;vegan;ldl_cholesterol
Goff et al., (2005); 97;U.K.;M/F;21 ;87.0 ; 23.2;25 ;88.9 ; 37.1;vegan;ldl_cholesterol
De Biase et al., (2007); 36;Brazil;M/F;18 ;69.3 ; 29.5;22 ;123.4 ; 42.7;vegan;ldl_cholesterol
Fontana et al., (2007); 98;U.S.;M/F;21 ;76 ; 23;21 ;112 ; 29;vegan;ldl_cholesterol
Sambol et al., (2009); 44;Croatia;M/F;20 ;90.1 ; 23.2;50 ;114.9 ; 23.2;vegan;ldl_cholesterol
Vinagre et al., (2013); 99;Brazil;M/F;21 ;81.2 ; 30.9;29 ;104.4 ; 27.1;vegan;ldl_cholesterol
Huang et al., (2014); 88;Taiwan;F;36 ;111.3 ; 26.8;2285 ;107.7 ; 24.1;vegan;ldl_cholesterol
Huang et al., (2014); 88;Taiwan;F;63 ;121.4 ; 28.9;1040 ;129.3 ; 27.4;vegan;ldl_cholesterol
Jian et al., (2014); 89;Taiwan;M;45 ;104.6 ; 25.8;3144 ;116.4 ; 26.7;vegan;ldl_cholesterol
Jian et al., (2014); 89;Taiwan;F;99 ;117.7 ; 28.4;3325 ;114.4 ; 27.1;vegan;ldl_cholesterol
Roshanai et al., (1984); 101;U.K.;M;11 ;51.4 ; 1.2;12 ;51.0 ; 2.7;vegan;hdl_cholesterol
Roshanai et al., (1984); 101;U.K.;F;12 ;56.1 ; 3.1;12 ;57.6 ; 2.7;vegan;hdl_cholesterol
Thorogood et al., (1987); 80;U.K.;M/F;114 ;57.6 ; 1.9;1198 ;57.6 ; 1.35;vegan;hdl_cholesterol
Thorogood et al., (1990); 9;U.K.;M;26 ;60.3 ; 1.9;26 ;60.3 ; 2.7;vegan;hdl_cholesterol
Thorogood et al., (1990); 9;U.K.;F;26 ;62.7 ; 2.3;26 ;66.9 ; 3.1;vegan;hdl_cholesterol
Sanders et al., (1992); 93;U.K.;M;10 ;50.7 ; 1.6;10 ;51.82 ; 3.5;vegan;hdl_cholesterol
Sanders et al., (1992); 93;U.K.;F;10 ;56.1 ; 3.1;10 ;59.2 ; 3.1;vegan;hdl_cholesterol
Haddad et al., (1999); 95;U.S.;M/F;25 ;46.4 ; 11.6;20 ;58.0 ; 15.5;vegan;hdl_cholesterol
Thomas et al., (1999); 22;U.K.;F;143 ;50.3 ; 1.1;376 ;49.9 ; 0.9;vegan;hdl_cholesterol
Krajcovicova et al., (2000); 25;Slovak Rep.;M/F;32 ;57.2 ; 1.2;59 ;50.7 ; 1.2;vegan;hdl_cholesterol
Goff et al., (2005); 97;U.K.;M/F;21 ;47.2 ; 9.7;25 ;51.0 ; 15.9;vegan;hdl_cholesterol
De Biase et al., (2007); 36;Brazil;M/F;18 ;55.7 ; 13.9;22 ;56.2 ; 18.3;vegan;hdl_cholesterol
Fontana et al., (2007); 98;U.S.;M/F;21 ;56 ; 13;21 ;52 ; 11;vegan;hdl_cholesterol
Sambol et al., (2009); 44;Croatia;M/F;20 ;53 ; 15.5;50 ;44.5 ; 19.3;vegan;hdl_cholesterol
Vinagre et al., (2013); 99;Brazil;M/F;21 ;38.7 ; 7.7;29 ;42.5 ; 11.6;vegan;hdl_cholesterol
Bradbury et al., (2014); 87;U.K.;M;167 ;44.5 ; 0.8;168 ;44.9 ; 0.8;vegan;hdl_cholesterol
Bradbury et al., (2014); 87;U.K.;F;255 ;53.4 ; 0.7;256 ;57.2 ; 0.7;vegan;hdl_cholesterol
Huang et al., (2014); 88;Taiwan;F;36 ;52.3 ; 12.4;2285 ;58.5 ; 13.2;vegan;hdl_cholesterol
Huang et al., (2014); 88;Taiwan;F;63 ;56.5 ; 11.6;1040 ;61.0 ; 16.1;vegan;hdl_cholesterol
Jian et al., (2014); 89;Taiwan;M;45 ;45.8 ; 15;3144 ;51.6 ; 14.5;vegan;hdl_cholesterol
Jian et al., (2014); 89;Taiwan;F;99 ;54.9 ; 12;3325 ;59.3 ; 14.2;vegan;hdl_cholesterol
Sanders et al., (1978); 100;U.K.;M/F;21 ;84.1 ; 6.2;21 ;119.6 ; 12.4;vegan;triglycerides
Kritchevsky et al., (1984); 78;U.S.;M/F;18 ;142 ; 13.9;25 ;138 ; 13.9;vegan;triglycerides
Roshanai et al., (1984); 101;U.K.;M;11 ;63.8 ; 6.2;12 ;56.7 ; 4.4;vegan;triglycerides
Roshanai et al., (1984); 101;U.K.;F;12 ;53.2 ; 7.1;12 ;64.7 ; 9.7;vegan;triglycerides
Sanders et al., (1992); 93;U.K.;M;10 ;67.3 ; 6.2;10 ;57.6 ; 5.3;vegan;triglycerides
Sanders et al., (1992); 93;U.K.;F;10 ;53.1 ; 7.1;10 ;67.3 ; 21.2;vegan;triglycerides
Haddad et al., (1999); 95;U.S.;M/F;25 ;88.6 ; 35.4;20 ;106.3 ; 53.1;vegan;triglycerides
Krajcovicova et al., (2000); 25;Slovak Rep.;M/F;32 ;115.1 ; 2.7;59 ;147.0 ; 2.7;vegan;triglycerides
Goff et al., (2005); 97;U.K.;M/F;21 ;73.3 ; 6.7;25 ;104.5 ; 5.5;vegan;triglycerides
De Biase et al., (2007); 36;Brazil;M/F;18 ;81.7 ; 81.9;22 ;155.7 ; 119.8;vegan;triglycerides
Fontana et al., (2007); 98;U.S.;M/F;21 ;56 ; 37;21 ;120 ; 59;vegan;triglycerides
Sambol et al., (2009); 44;Croatia;M/F;20 ;83.3 ; 35.4;50 ;122.2 ; 53.1;vegan;triglycerides
Vinagre et al., (2013); 99;Brazil;M/F;21 ;79.8 ; 35.4;29 ;88.6 ; 35.4;vegan;triglycerides
Huang et al., (2014); 88;Taiwan;F;36 ;126.3 ; 69.2;2285 ;97.6 ; 59.1;vegan;triglycerides
Huang et al., (2014); 88;Taiwan;F;63 ;140.8 ; 65.2;1040 ;141.1 ; 84.5;vegan;triglycerides
Jian et al., (2014); 89;Taiwan;M;45 ;156.6 ; 104.9;3144 ;141.6 ; 95.1;vegan;triglycerides
Jian et al., (2014); 89;Taiwan;F;99 ;135.4 ; 66.7;3325 ;111.0 ; 70.9;vegan;triglycerides
Goff et al., (2005); 97;U.K.;M/F;21 ;71.3 ; 2.8;25 ;73 ; 2.6;vegan;blood_glucose
Fontana et al., (2007); 98;U.S.;M/F;21 ;85 ; 7;21 ;95 ; 6;vegan;blood_glucose
Sambol et al., (2009); 44;Croatia;M/F;20 ;85.1 ; 12.6;50 ;85.86 ; 10.8;vegan;blood_glucose
Vinagre et al., (2013); 99;Brazil;M/F;21 ;68.4 ; 16.2;29 ;82.8 ; 5.4;vegan;blood_glucose
